,prism_consumer_id,score,reason_1,reason_2,reason_3,cash_score
56,56,0.325284583997645,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,686
57,57,0.1001917711943865,Gambling-related spending,Frequent cash withdrawals,Frequent automotive-related expenses,760
58,58,0.03344640394608137,Irregular paycheck deposits,High income volatility,High grocery-related spending,818
59,59,0.0479261021371541,High spending on essential services,High spending related to debt obligations,Frequent automotive-related expenses,799
60,60,0.6152077255419693,High transaction volume,Frequent internal transfers between accounts,Limited savings account activity,627
61,61,0.04339249282155473,Frequent cash withdrawals,High spending related to debt obligations,Investment-related cash flow activity,805
62,62,0.38295130048668535,Low minimum monthly balance,Low average monthly balance,Frequent automotive-related expenses,674
63,63,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
64,64,0.06956852016567747,Periods of negative monthly cash flow,High spending on essential services,High discretionary entertainment spending,780
65,65,0.5015328361617577,High transaction volume,Low minimum monthly balance,Limited length of transaction history,650
66,66,0.1956476355954443,Frequent cash withdrawals,High food and beverage spending,Limited savings account activity,721
67,67,0.0287735381818462,High income volatility,High proportion of income spent on essentials,High discretionary entertainment spending,826
68,68,0.054765777852844665,High income volatility,High discretionary entertainment spending,Frequent transfers to external accounts,792
69,69,0.15705768357025954,Frequent internal transfers between accounts,Low net monthly cash flow,High proportion of income spent on essentials,734
70,70,0.09100210188541077,High proportion of income spent on essentials,Irregular paycheck deposits,Frequent transfers to external accounts,765
71,71,0.07728662344232914,Frequent internal transfers between accounts,Frequent automotive-related expenses,Frequent transfers to external accounts,774
72,72,0.10631690841472742,Limited savings account activity,High income volatility,High proportion of income spent on essentials,756
73,73,0.07452482524722127,High proportion of income spent on essentials,High income volatility,Limited savings account activity,776
74,74,0.07841425371669448,High income volatility,High debit transaction activity,Low annual income inflows,773
75,75,0.05074208623949644,High volatility in essential spending,High proportion of income spent on essentials,High discretionary entertainment spending,796
76,76,0.4517065832709474,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,660
77,77,0.30893882075389356,Low minimum monthly balance,Frequent internal transfers between accounts,Low net monthly cash flow,690
78,78,0.2037430299523109,Short observable income history,High income volatility,High debit transaction activity,718
79,79,0.1019851899653407,Low net monthly cash flow,High income volatility,Irregular paycheck deposits,759
80,80,0.12076577259387479,High spending on essential services,Low net monthly cash flow,Frequent automotive-related expenses,749
81,81,0.06492363586172198,Frequent cash withdrawals,Low net monthly cash flow,Frequent automotive-related expenses,783
82,82,0.1459888039947388,Low minimum monthly balance,Limited savings account activity,Low average monthly balance,738
83,83,0.28495002802073055,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent automotive-related expenses,696
84,84,0.1538692357321733,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,735
85,85,0.2839924232588664,Frequent internal transfers between accounts,High miscellaneous spending,Frequent automotive-related expenses,696
86,86,0.233501041053916,Low minimum monthly balance,Short observable income history,Low average monthly balance,709
87,87,0.14515744779944048,Frequent internal transfers between accounts,Low net monthly cash flow,High proportion of income spent on essentials,739
88,88,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
89,89,0.02245784300753086,High income volatility,High proportion of income spent on essentials,High spending related to debt obligations,839
90,90,0.10096764837370956,Frequent internal transfers between accounts,Limited savings account activity,High proportion of income spent on essentials,759
91,91,0.17615900409984686,Low minimum monthly balance,Frequent internal transfers between accounts,Low net monthly cash flow,727
92,92,0.30429328396229044,High income volatility,Frequent cash withdrawals,High debit transaction activity,691
93,93,0.08005892997316338,High proportion of income spent on essentials,Frequent transfers to external accounts,High discretionary entertainment spending,772
94,94,0.2994915594719972,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Frequent cash withdrawals,692
95,95,0.7829428293890133,Low minimum monthly balance,High transaction volume,Highly variable monthly net cash flow,586
96,96,0.045731507711481975,High miscellaneous spending,High discretionary entertainment spending,Frequent transfers to external accounts,802
97,97,0.27209848331559294,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,699
98,98,0.08443201758088004,High income volatility,High debit transaction activity,High spending related to debt obligations,769
99,99,0.09469532751202514,High proportion of income spent on essentials,High income volatility,Low annual income inflows,763
100,100,0.046847447045767446,Low net monthly cash flow,High spending related to debt obligations,High income volatility,801
101,101,0.13498434902935313,Frequent internal transfers between accounts,Frequent transfers to external accounts,Low net monthly cash flow,743
102,102,0.07225078252072958,High proportion of income spent on essentials,High spending on essential services,Frequent transfers to external accounts,778
103,103,0.268916838428328,Low minimum monthly balance,Frequent internal transfers between accounts,Limited savings account activity,700
104,104,0.22671589121679625,High proportion of income spent on essentials,Frequent internal transfers between accounts,High discretionary entertainment spending,711
105,105,0.10039904388799467,Limited length of transaction history,Low minimum monthly balance,Irregular paycheck deposits,760
106,106,0.07083980228248156,High proportion of income spent on essentials,High miscellaneous spending,Frequent transfers to external accounts,779
107,107,0.28969409369887733,Frequent internal transfers between accounts,Short observable income history,High credit card payment activity,695
108,108,0.4286580440905276,High transaction volume,Limited length of transaction history,Frequent internal transfers between accounts,664
109,109,0.22959048890795924,Gambling-related spending,High income volatility,High debit transaction activity,711
110,110,0.2854193512079959,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,696
111,111,0.14863188097279503,Low minimum monthly balance,Limited savings account activity,High proportion of income spent on essentials,737
112,112,0.0366005596366254,High spending on essential services,Frequent dining-related spending,Short observable income history,814
113,113,0.13132649586675438,Gambling-related spending,High income volatility,Low annual income inflows,744
114,114,0.5140776857754853,High transaction volume,Frequent internal transfers between accounts,High discretionary entertainment spending,647
115,115,0.19887025281484247,Frequent internal transfers between accounts,High miscellaneous spending,Frequent transfers to external accounts,720
116,116,0.23340798502871007,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,709
117,117,0.20462285740165684,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,718
118,118,0.09940425620751667,High income volatility,Low annual income inflows,High debit transaction activity,760
119,119,0.1622371241284956,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
120,120,0.2420699500160339,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,707
121,121,0.11757987287419404,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,751
122,122,0.03590632531872516,High income volatility,High debit transaction activity,Low annual income inflows,815
123,123,0.10453667806282868,High transaction volume,Frequent insurance payments,High income volatility,757
124,124,0.16556073382956135,Frequent internal transfers between accounts,Irregular paycheck deposits,Frequent transfers to external accounts,731
125,125,0.09717658672251171,Frequent internal transfers between accounts,High proportion of income spent on essentials,Frequent transfers to external accounts,761
126,126,0.48047614050284754,Low minimum monthly balance,Low average monthly balance,Multiple active debt-related expense categories,654
127,127,0.18650104196618267,Gambling-related spending,Frequent internal transfers between accounts,High credit card payment activity,724
128,128,0.13244403071843655,Frequent internal transfers between accounts,Frequent cash withdrawals,Frequent automotive-related expenses,744
129,129,0.2814288966622241,High spending on essential services,Multiple active debt-related expense categories,High income volatility,697
130,130,0.42356946425364794,Multiple active debt-related expense categories,Frequent internal transfers between accounts,Gambling-related spending,665
131,131,0.09604943960664866,High proportion of income spent on essentials,High discretionary entertainment spending,Frequent transfers to external accounts,762
132,132,0.17001817534392016,Gambling-related spending,Frequent internal transfers between accounts,Frequent transfers to external accounts,729
133,133,0.04896564328107442,Low net monthly cash flow,Frequent transfers to external accounts,High spending related to debt obligations,798
134,134,0.28150354268284994,Low minimum monthly balance,Short observable income history,Large fluctuations in monthly balances,697
135,135,0.6391920949906053,High transaction volume,Gambling-related spending,Frequent internal transfers between accounts,621
136,136,0.22837989419999963,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,711
137,137,0.29869363644516905,High transaction volume,Limited savings account activity,Frequent cash withdrawals,693
138,138,0.4902526973067116,High transaction volume,High volatility in essential spending,Limited savings account activity,652
139,139,0.3623493523504151,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,678
140,140,0.44764069494243297,Low minimum monthly balance,Low average monthly balance,Frequent internal transfers between accounts,661
141,141,0.27784930661464413,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,698
142,142,0.11123878199885673,Frequent cash withdrawals,Frequent transfers to external accounts,Irregular paycheck deposits,754
143,143,0.2027219370274898,High income volatility,High proportion of income spent on essentials,Frequent internal transfers between accounts,718
144,144,0.5267406893641666,Low minimum monthly balance,Frequent internal transfers between accounts,Highly variable monthly net cash flow,645
145,145,0.08625579261331258,High income volatility,Frequent cash withdrawals,Frequent internal transfers between accounts,768
146,146,0.13761255184030816,Frequent internal transfers between accounts,High discretionary entertainment spending,Frequent cash withdrawals,742
147,147,0.06836984488578493,High income volatility,High proportion of income spent on essentials,Low net monthly cash flow,781
148,148,0.06109579822502391,High proportion of income spent on essentials,High volatility in essential spending,Frequent internal transfers between accounts,787
149,149,0.024927363926254647,Frequent internal transfers between accounts,Frequent transfers to external accounts,High grocery-related spending,833
150,150,0.2324244738264515,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,710
151,151,0.6284494008742397,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,624
152,152,0.12077317287296327,High income volatility,High debit transaction activity,Gambling-related spending,749
153,153,0.10008637833389067,High proportion of income spent on essentials,High income volatility,Low net monthly cash flow,760
154,154,0.25307961337831747,High volatility in essential spending,High proportion of income spent on essentials,Frequent internal transfers between accounts,704
155,155,0.12471476150829716,Frequent internal transfers between accounts,Short observable income history,Low net monthly cash flow,747
156,156,0.1622371241284956,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
157,157,0.123333722234839,Limited length of transaction history,Frequent internal transfers between accounts,Short observable income history,748
158,158,0.03263922058108605,Limited savings account activity,High proportion of income spent on essentials,Investment-related cash flow activity,819
159,159,0.17178580509607685,High spending on essential services,Multiple active debt-related expense categories,High income volatility,729
160,160,0.0773876085761085,Frequent cash withdrawals,Frequent automotive-related expenses,Frequent internal transfers between accounts,774
161,161,0.0452810348175449,High proportion of income spent on essentials,Irregular paycheck deposits,High spending on essential services,802
162,162,0.36823971048621007,Low minimum monthly balance,Low average monthly balance,High proportion of income spent on essentials,677
163,163,0.043820009407464604,High proportion of income spent on essentials,Frequent transfers to external accounts,Frequent insurance payments,804
164,164,0.08204207458085108,High spending on essential services,High income volatility,Frequent transfers to external accounts,771
165,165,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
166,166,0.11899769798773134,Low net monthly cash flow,High discretionary entertainment spending,Frequent transfers to external accounts,750
167,167,0.27784930661464413,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,698
168,168,0.4540014383473282,High transaction volume,Limited length of transaction history,High volatility in essential spending,659
169,169,0.15832949117200634,Limited length of transaction history,Frequent internal transfers between accounts,Irregular paycheck deposits,734
170,170,0.11750815211903531,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,751
171,171,0.08968273669204814,High proportion of income spent on essentials,High income volatility,High spending on essential services,766
172,172,0.09178324445294726,Frequent internal transfers between accounts,High proportion of income spent on essentials,High discretionary entertainment spending,765
173,173,0.06684671704943101,High proportion of income spent on essentials,Frequent cash withdrawals,Irregular paycheck deposits,782
174,174,0.04325784702999851,Limited length of transaction history,Irregular paycheck deposits,High income volatility,805
175,175,0.358819417831698,Highly variable monthly net cash flow,High credit card payment activity,High proportion of income spent on essentials,679
176,176,0.05386345310500255,Low minimum monthly balance,Irregular paycheck deposits,Low net monthly cash flow,793
177,177,0.2288101758253012,Frequent internal transfers between accounts,High income volatility,High credit card payment activity,711
178,178,0.08447249392272102,High food and beverage spending,Frequent automotive-related expenses,Frequent transfers to external accounts,769
179,179,0.06938818893356226,Gambling-related spending,Highly variable monthly net cash flow,Limited savings account activity,780
180,180,0.13179238537465263,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,744
181,181,0.48896177369108246,High transaction volume,Limited length of transaction history,Frequent internal transfers between accounts,652
182,182,0.3921555642715048,High transaction volume,High proportion of income spent on essentials,Large fluctuations in monthly balances,672
183,183,0.14599598468211245,Multiple active debt-related expense categories,High miscellaneous spending,High spending related to debt obligations,738
184,184,0.12640583003915393,High income volatility,Low net monthly cash flow,High spending related to debt obligations,747
185,185,0.16147722575593892,Frequent internal transfers between accounts,Low annual income inflows,Low net monthly cash flow,732
186,186,0.18464073088741156,Multiple active debt-related expense categories,High income volatility,Frequent cash withdrawals,724
187,187,0.2949808417482469,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,694
188,188,0.1030059468683342,Frequent automotive-related expenses,High proportion of income spent on essentials,Frequent transfers to external accounts,758
189,189,0.0881226880896263,High income volatility,High proportion of income spent on essentials,High debit transaction activity,767
190,190,0.07260692528088653,High income volatility,Frequent transfers to external accounts,High proportion of income spent on essentials,777
191,191,0.10502155114625597,Frequent cash withdrawals,High food and beverage spending,Frequent automotive-related expenses,757
192,192,0.08191666722083082,High income volatility,Frequent cash withdrawals,Low annual income inflows,771
193,193,0.30842891992321936,High spending on essential services,Multiple active debt-related expense categories,High debit transaction activity,690
194,194,0.04035459516834125,High income volatility,High proportion of income spent on essentials,Irregular paycheck deposits,808
195,195,0.06461854296038402,High income volatility,Frequent transfers to external accounts,High spending on essential services,784
196,196,0.6050672142013892,High transaction volume,High proportion of income spent on essentials,Frequent internal transfers between accounts,629
197,197,0.23734319135495172,High spending on essential services,Frequent cash withdrawals,Limited savings account activity,708
198,198,0.1622371241284956,Frequent internal transfers between accounts,Low net monthly cash flow,High discretionary entertainment spending,732
199,199,0.14746581764225294,Low minimum monthly balance,Low average monthly balance,Low net monthly cash flow,738
200,200,0.11582787183151826,Low minimum monthly balance,High proportion of income spent on essentials,Low average monthly balance,752
201,201,0.06715253054637871,Frequent internal transfers between accounts,High credit card payment activity,Frequent cash withdrawals,782
202,202,0.23875778853114377,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent transfers to external accounts,708
203,203,0.5792138785573889,Low minimum monthly balance,Frequent internal transfers between accounts,High income volatility,634
204,204,0.0959426980396997,High miscellaneous spending,Irregular paycheck deposits,High income volatility,762
205,205,0.11151829256873967,High income volatility,Frequent cash withdrawals,High miscellaneous spending,754
206,206,0.09217895625471798,Frequent internal transfers between accounts,High discretionary entertainment spending,Irregular paycheck deposits,764
207,207,0.12488264827256827,Low net monthly cash flow,Frequent transfers to external accounts,High spending related to debt obligations,747
208,208,0.3104632158381014,Low minimum monthly balance,Limited savings account activity,Frequent internal transfers between accounts,690
209,209,0.2340005837677576,Low net monthly cash flow,High spending related to debt obligations,Frequent transfers to external accounts,709
210,210,0.13154609321178612,High credit card payment activity,Frequent transfers to external accounts,Low net monthly cash flow,744
211,211,0.10933981664710433,High income volatility,High food and beverage spending,Low annual income inflows,755
212,212,0.24481176074745795,Low minimum monthly balance,High proportion of income spent on essentials,Frequent automotive-related expenses,706
213,213,0.09939620191234529,High proportion of income spent on essentials,High debit transaction activity,Limited savings account activity,760
214,214,0.17957946272861236,Low minimum monthly balance,Frequent internal transfers between accounts,Low average monthly balance,726
215,215,0.05304822495182544,Short observable income history,Frequent dining-related spending,Irregular paycheck deposits,794
216,216,0.11223494323484628,Frequent cash withdrawals,High proportion of income spent on essentials,Frequent automotive-related expenses,753
217,217,0.03723665752106948,High spending on essential services,High spending related to debt obligations,High credit card payment activity,813
218,218,0.38321972848615066,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent automotive-related expenses,674
219,219,0.12702132495115406,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,746
220,220,0.0904001163969351,Low net monthly cash flow,Limited savings account activity,Frequent cash withdrawals,765
221,221,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
222,222,0.17450613654161062,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,728
223,223,0.4332597116071969,Low minimum monthly balance,Frequent internal transfers between accounts,Highly variable monthly net cash flow,663
224,224,0.16391095080645554,Low minimum monthly balance,Frequent automotive-related expenses,Low average monthly balance,731
225,225,0.3210303043155892,Multiple active debt-related expense categories,Frequent internal transfers between accounts,High credit card payment activity,687
226,226,0.325284583997645,Low minimum monthly balance,Limited length of transaction history,Frequent internal transfers between accounts,686
227,227,0.3594422345669346,Low minimum monthly balance,Limited savings account activity,Frequent automotive-related expenses,679
228,228,0.06107946178587274,Frequent internal transfers between accounts,Frequent automotive-related expenses,Frequent cash withdrawals,787
229,229,0.10827272845506956,Short observable income history,High credit card payment activity,Frequent automotive-related expenses,755
230,230,0.12565435387834595,High income volatility,High proportion of income spent on essentials,Low annual income inflows,747
231,231,0.027512377756170124,High income volatility,Irregular paycheck deposits,High miscellaneous spending,828
232,232,0.060711965376529876,High food and beverage spending,High spending on essential services,Frequent automotive-related expenses,787
233,233,0.15277670847063196,Frequent internal transfers between accounts,High credit card payment activity,Irregular paycheck deposits,736
234,234,0.1812878780404235,Low minimum monthly balance,Limited length of transaction history,Large fluctuations in monthly balances,725
235,235,0.47511554051755656,Low minimum monthly balance,Low average monthly balance,Limited length of transaction history,655
236,236,0.2981136964285346,Low minimum monthly balance,Frequent internal transfers between accounts,Frequent automotive-related expenses,693
237,237,0.07407965793442149,Frequent internal transfers between accounts,Low net monthly cash flow,Low minimum monthly balance,776
238,238,0.5627691193944048,High transaction volume,Low minimum monthly balance,Highly variable monthly net cash flow,637
239,239,0.16193345948433238,Frequent internal transfers between accounts,High proportion of income spent on essentials,Low net monthly cash flow,732
240,240,0.06651607507301989,Limited length of transaction history,Irregular paycheck deposits,Frequent transfers to external accounts,782
241,241,0.0930344745692788,High income volatility,Low annual income inflows,High debit transaction activity,764
242,242,0.09331700513043446,High proportion of income spent on essentials,High income volatility,Frequent automotive-related expenses,764
243,243,0.15728984798072046,High income volatility,Frequent cash withdrawals,Gambling-related spending,734
244,244,0.07848980792813273,High spending on essential services,High income volatility,Frequent cash withdrawals,773
245,245,0.032301375957921374,High income volatility,High debit transaction activity,Low net monthly cash flow,820
246,246,0.13309167972115424,Gambling-related spending,High food and beverage spending,Frequent transfers to external accounts,744
247,247,0.38237567087712915,Low minimum monthly balance,Limited savings account activity,Frequent cash withdrawals,674
248,248,0.41467733368551585,Gambling-related spending,High spending on essential services,Multiple active debt-related expense categories,667
249,249,0.5568891005638732,High transaction volume,Low minimum monthly balance,Limited length of transaction history,639
250,250,0.09990385064680844,Highly variable monthly net cash flow,High proportion of income spent on essentials,Low annual income inflows,760
251,251,0.3011818292863616,Frequent internal transfers between accounts,High proportion of income spent on essentials,Low net monthly cash flow,692
252,252,0.16561993667029343,Frequent internal transfers between accounts,High income volatility,Frequent transfers to external accounts,731
253,253,0.12685782364673776,Frequent internal transfers between accounts,Low net monthly cash flow,High proportion of income spent on essentials,746
254,254,0.150495721632671,Low minimum monthly balance,Limited savings account activity,Short observable income history,737
255,255,0.06371805472270298,Short observable income history,High proportion of income spent on essentials,High spending related to debt obligations,784
256,256,0.21058293100743566,Low minimum monthly balance,High proportion of income spent on essentials,High income volatility,716
257,257,0.3010951333888295,Frequent internal transfers between accounts,Frequent automotive-related expenses,Frequent transfers to external accounts,692
258,258,0.16622069001880527,Frequent internal transfers between accounts,Low average monthly balance,Low net monthly cash flow,731
259,259,0.12565543566686374,High income volatility,Frequent internal transfers between accounts,High proportion of income spent on essentials,747
260,260,0.1461038592361835,Gambling-related spending,Frequent cash withdrawals,High discretionary entertainment spending,738
261,261,0.06244308727240229,High discretionary entertainment spending,High spending related to debt obligations,High proportion of income spent on essentials,785
262,262,0.2220844896807692,Limited savings account activity,Low average monthly balance,Low net monthly cash flow,713
263,263,0.09764089969851777,Frequent internal transfers between accounts,High proportion of income spent on essentials,High discretionary entertainment spending,761
264,264,0.21012473397928916,Low minimum monthly balance,Low average monthly balance,High proportion of income spent on essentials,716
265,265,0.24648314904786464,High transaction volume,High proportion of income spent on essentials,Limited savings account activity,706
266,266,0.19783628165606149,Limited savings account activity,Frequent cash withdrawals,Frequent automotive-related expenses,720
267,267,0.18430773649019536,Frequent internal transfers between accounts,High proportion of income spent on essentials,Low net monthly cash flow,724
268,268,0.2420699500160339,Limited savings account activity,Frequent internal transfers between accounts,Low net monthly cash flow,707
269,269,0.08046971544160622,Frequent internal transfers between accounts,High proportion of income spent on essentials,High income volatility,772
270,270,0.16235271236513876,High volatility in essential spending,Frequent internal transfers between accounts,High proportion of income spent on essentials,732
271,271,0.1317158877074794,Irregular paycheck deposits,Frequent transfers to external accounts,High spending related to debt obligations,744
272,272,0.46431263373477444,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,657
273,273,0.07757594253806091,Low net monthly cash flow,Irregular paycheck deposits,High discretionary entertainment spending,774
274,274,0.1456097271167805,High proportion of income spent on essentials,Low net monthly cash flow,Low minimum monthly balance,738
275,275,0.11636895782536426,High proportion of income spent on essentials,Frequent cash withdrawals,Limited savings account activity,751
276,276,0.17990747925446696,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,726
277,277,0.07667254393428231,Low net monthly cash flow,Frequent transfers to external accounts,Irregular paycheck deposits,774
278,278,0.23569727790334472,High volatility in essential spending,Frequent internal transfers between accounts,High proportion of income spent on essentials,709
279,279,0.23340798502871007,Frequent internal transfers between accounts,Low net monthly cash flow,Frequent transfers to external accounts,709
280,280,0.08028367660582682,Low net monthly cash flow,High proportion of income spent on essentials,High miscellaneous spending,772
281,281,0.03870036923039767,Low minimum monthly balance,Low average monthly balance,Large fluctuations in monthly balances,811
282,282,0.11105159178752765,Frequent cash withdrawals,Frequent automotive-related expenses,High discretionary entertainment spending,754
283,283,0.13626144928511397,Highly variable monthly net cash flow,Frequent cash withdrawals,High income volatility,742
284,284,0.022885220084296023,High proportion of income spent on essentials,Irregular paycheck deposits,High grocery-related spending,838
285,285,0.04862699312662145,High discretionary entertainment spending,High income volatility,Frequent transfers to external accounts,799
286,286,0.27784930661464413,Frequent internal transfers between accounts,Limited savings account activity,Low net monthly cash flow,698
287,287,0.30002584263051013,High transaction volume,Frequent internal transfers between accounts,High discretionary entertainment spending,692
288,288,0.30657034951652057,Frequent internal transfers between accounts,Frequent automotive-related expenses,Frequent cash withdrawals,691
